0,A,69.73,70.05,2018-01-08
1,AA,53.96,55.0,2018-01-08
2,AAC,9.08,9.09,2018-01-08
3,AAP,112.05,111.39,2018-01-08
4,AB,26.2,26.7,2018-01-08
5,ABB,27.51,27.6,2018-01-08
6,ABBV,101.28,99.49,2018-01-08
7,ABC,95.11,96.9,2018-01-08
